id	enum	Actividad_Economica	CIIU
130	COMERCIALIZADORA PICARDIAS	COMERCIO DE ARTICULOS DE PAPELERIA  UTILES ESCOLARES Y DE OFICINA  TEXTOS  LIBROS  MATERIAL DIDACTICO.COMERCIO DE TODA CLASE DE ARTICULOS DE MISCELANEA Y CACHARRERIA  ELECTRODOMESTICOS  ARTICULOS Y UTENSILIOS DE USO DOMESTICO  ELEMENTOS Y ARTICULOS PARA EL ASEO  EQUIPOS Y APARATOS ELECTRONICOS. COMERCIO DE ARTICULOS DEPORTIVOS  PRENDAS DE VESTIR  CALZADO  ARTICULOS Y ELEMENTOS DE SEGURIDAD. SUMINISTROS EN GENERAL.	G4761
131	SURTI ABASTOS LA FRONTERA	COMERCIO AL POR MENOR DE ARTÍCULOS DE PAPELERÍA  COMERCIO AL POR MENOR DE PRODUCTOS DE CACHARRERIA  COMERCIO AL POR MENOR DE PRODUCTOS AGRÍCOLAS  COMERCIO AL POR MENOR DE VÍVERES EN GENERAL.	G4761
132	PAPELERIA Y VARIEDADES ANGEL JH	COMERCIO AL POR MENOR DE PAPELERÍA  CACHARRERIA  JUGUETERIA Y VARIEDADES EN GENERAL	G4761
133	PAPER MAP	COMERCIO AL POR MENOR DE LIBROS  PERIODICOS  MATERIALES Y ARTICULOS DE PAPELERIA  COMERCIO AL POR MENOR DE COMPUTADORES  EQUIPOS PERIFERICOS  OTRAS ACTIVIDADES DE SERVICIO FINANCIERO  EXCEPTO LAS DE SEGUROS Y PENSIONES Y TRANSPORTE DE PASAJEROS.	G4761
134	ALMACEN Y VARIEDADES CENITH SOFIA	COMERCIO AL POR MENOR DE PRENDAS DE VESTIR Y SUS ACCESORIOS  COMERCIO AL POR MENOR DE CALZADO  COMERCIO DE CACHARRERIA.	G4771
135	RODRIGUEZ LOPEZ JESUS ARMANDO	ACTIVIDADES DE CONSTRUCCION Y EDIFICIOS RESIDENCIALES.	F4111
136	COMERCILIZADORA PUERTO DE NIDIA	COMERCIO AL POR MENOR DE PRENDAS DE VESTIR Y SUS ACCESORIOS  COMERCIO AL POR MENOR DE VÍVERES Y ABARROTES EN GENERAL  SERVICIO DE TRANSPORTE MIXTO  COMERCIO AL POR MENOR DE MATERIALES Y ARTÍCULOS DE PAPELERÍA.	G4771
137	ALMACEN YULIED	COMERCIO AL POR MENOR DE PRENDAS DE VESTIR Y SUS ACCESORIOS (INCLUYE ARTICULOS DE PIEL) EN ESTABLECIMIENTOS ESPECIALIZADOS  COMERCIO AL POR MENOR DE TODO TIPO DE CALZADO Y ARTICULOS DE CUERO Y SUCEDANEOS DEL CUERO EN ESTABLECIMIENTOS ESPECIALIZADOS	G4771
138	ALMACEN MARY-BE	COMERCIO AL POR MENOR DE PRENDAS DE VESTIR Y SUS ACCESORIOS Y COMERCIO AL POR MENOR DE TODO TIPO DE CALZADO	G4771
139	ALMACEN PUNTO DEL REMATE	COMERCIO AL POR MENOR DE PRENDAS DE VESTIR Y SUS ACCESORIOS  COMERCIO AL POR MENOR DE TODO TIPO DE CALZADO  COMERCIO AL POR MENOR DE ARTÍCULOS DE CACHARRERIA  Y COMERCIO AL POR MENOR DE ARTÍCULOS DE PAPELERÍA.	G4771
140	LA PINTA CLOTHING SHOP CUBARA	COMERCIO AL POR MENOR DE PRENDAS DE VESTIR   ACCESORIOS  BOLSOS  Y TODO TIPO DE CALZADO.	G4771
141	MARIANA ZULUAGA STORE	COMERCIO DE ROPA  ACCESORIOS  CALZADO FEMENINO Y MASCULINO  PRODUCTOS DE BELLEZA Y MAQUILLAJE.	G4771
142	VARIEDADES NEYLA	COMERCIO AL POR MENOR DE PRENDAS DE VESTIR VENTA DE CALZADO VENTA DE ARTICULOS DE PAPELERIA	G4771
143	CASAS EXPOSITO ANGELA PATRICIA	VENTA DE PRODUCTOS VETERINARIOS VENTA DE ARTICULOS DOMESTICOS	G4773
144	ASOCIACIÓN DROGUERÍA  U´WA	VENTA DE PRODUCTOS FARMACÉUTICOS EN GENERAL.	G4773
145	DROGUERIA Y VETERINARIA NACIONAL DE MEDICAMENTOS	VENTA DE PRODUCTOS FARMACEUTICOS PARA EL CONSUMO HUMANO PRODUCTOS DE FERRETERIA VENTA DE MATERIAS PRIMAS	G4773
146	LABORATORIO CLINICO LEONARDO BUITRAGO TARAZONA	COMERCIO Y SERVICIO DE MATERIAL DE RECOLECCIÓN DE MUESTRAS BIOLÓGICAS	G4773
147	DROGUERIA FARMAECONOMIA	COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES	G4773
148	AGROVETERIANRIA EL CAPORAL DEL PIEDEMONTE	COMERCIO DE PRODUCTOS VETERINARIOS E INSUMOS AGRÍCOLAS  ACTIVIDADES VETERINARIAS.	G4773
149	DROGUERIA Y PERFUMERIA KERATH - CHIA	COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINA TRADICIONAL.	G4773
150	DROGUERIA SARITA	VENTA DE PRODUCTOS FARMACÉUTICOS VENTA DE PRODUCTOS DIFERENTES A ALIMENTOS	G4773
151	COMERCIALIZADORA PERILLA	TRANSPORTE DE PASAJEROS	H4921
152	COTRANAL LTDA	TRANSPORTE DE PASAJEROS ACTIVIDADES DE MENSAJERIA	H4921
153	GONZALEZ GELVEZ ROMULO	TRANSPORTE DE PASAJEROS. TRANSPORTE DE CARGA POR CARRETERA. ALQUILER Y ARRENDAMIENTO DE VEHICULOS.	H4921
154	COOPERATIVA MULTIACTIVA DE TRANSPORTE DE CUBARA - BOYACA		H4921
155	COOPERATIVA DE TRANSPORTADORES LA PAZ		H4921
156	NARANJO ORTIZ JOSE ANTONIO	SERVICIO DE TRANSPORTE MIXTO  COMERCIO DE MATERIAS PRIMAS AGROPECUARIAS  ANIMALES VIVOS  COMERCIO DE BOTAS DE CAUCHO Y VENTA DE MATERIALES Y ARTÍCULOS DE PAPELERÍA	H4922
157	TRANSPORTES Y SERVICIOS INTEGRALES DE COLOMBIA S.A.S CUBARA	TRANSPORTE DE CARGA POR CARRETERA  TRANSPORTE DE PASAJEROS  COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES.	H4923
158	ASOCIACION DE TRANSPORTE FLUVIAL DEL MUNICIPIO DE CUBARA "BENITO SUAREZ"	TRANSPORTE FLUVIAL DE PASAJEROS Y CARGA.	H5021
159	RESIDENCIAS SAN MIGUEL	ALOJAMIENTO EN HOTELES	I5511
160	WHITE  HOUSE	ALOJAMIENTO EN HOTELES  EXPENDIO A LA MESA DE COMIDAS PREPARADAS	I5511
161	HOTEL CENTRAL LOS AMIGOS	SERVICIO DE HOSPEDAJE EN HOTELES	I5511
162	HOTEL CUBARA REAL CONFORT	SERVICIO DE ALOJAMIENTO EN HOTELES	I5511
163	DISTRIBUCIONES MAT	OTROS TIPOS DE ALOJAMIENTO ACTIVIDADES PROFESIONALES VENTA DE PRODUCTOS ALIMENTICIOS OTROS TIPOS DE EXPENDIO DE COMIDAS PREPARADAS	I5519
164	OBAWA. RESTAURANTE  CAFE-BAR	SERVICIO DE RESTAURANTE	I5611
165	GUERRERO ARCHILA FANNY	EXPENDIO A LA MESA DE COMIDAS PREPARADASOTROS TIPOS DE EXPENDIO DE COMIDAS PREPARADAS N.C.P.  COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS	I5611
166	RESTAURANTE LA MESA DIVINA	EXPENDIÓ DE COMIDAS PREPARADAS A LA MESA	I5611
167	ROSAS GONZALEZ MARLENY	EXPENDIó A LA MESA DE COMIDAS PREPARADAS  ALOJAMIENTO DE HABITACIONES	I5611
168	RESTAURANTE LA MALAGUEÑA	EXPENDIO A LA MESA DE COMIDAS PREPARADAS ALOJAMIENTO EN HOTELES COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS.	I5611
169	MIRADOR VISTA SERENA	PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA	I5611
170	RESTAURANTE MULTISERVICIO ADEKA	COMERCIO DE COMIDAS  PREPARADAS EN ESTABLECIMIENTO Y A DOMICILIO . SERVICIO DE   CATERING PARA EVENTOS  PREPARACION DE REFRIGERIOS  COMERCIO DE PRODUCTOS ALIMENTICIOS Y OTROS VIVERES	I5611
171	RESTAURANTE Y FRESQUERIA EL PRINCIPE	OTROS TIPOS DE EXPENDIO DE COMIDAS PREPARADAS N.C.P.	I5611
172	SUMINISTROS & SERVICIOS CHELAS`T	EXPENDIÓ A LA MESA DE COMIDAS PREPARADAS  OTROS TIPOS DE EXPENDIÓ DE COMIDAS PREPARADAS  COMERCIO AL POR MENOR DE MATERIALES Y ARTÍCULOS DE PAPELERÍA  COMERCIO DE ARTICULOS DEPORTIVOS	I5611
173	RESTAURANTE EL CORRIENTAZO DE PULPO	EXPENDIO DE COMIDAS PREPARADAS EN LA MESA	I5611
174	BOTAFOGO RESTAURANTE CAFE - BAR	EXPENDIO A LA MESA DE COMIDAS PREPARADAS  EXPENDIO DE COMIDAS PREPARADAS EN CAFETERIAS COMERCIO BEBIDAS ALCOHOLICAS Y NO ALCOHOLICAS	I5611
175	UBASHA RESTAURANT	EXPENDIO A LA MESA DE COMIDAS PREPARADAS	I5611
176	ASADERO EL ROYOTA	asadero y Expendio de bebidas alcohólicas para el consumo	I5611
177	RESTAURANTE EL VIAJERO	EXPENDIO A LA MESA DE COMIDAS PREPARADAS	I5611
178	ASOCIACION DE PADRES DE FAMILIA DEL RESTAURANTE ESCOLAR SAN MIGUEL		I5611
179	COMIDAS RAPIDAS MARTIN	EXPENDIO DE COMIDAS PREPARADAS	I5613
180	FRESQUERIA COFFEE CREAM	SERVICIO DE HELADERÍA Y CAFETERÍA Y JUGOS NATURALES ENSALADAS DE FRUTAS  COMIDAS RAPIDAS	I5613
181	PACHECO SILVA KELIS JHOANA	PREPARACION Y VENTA DE ALIMENTOS Y SERVICIO DE CAFETERIA	I5613
182	COMIDAS RAPIDAS EL TURRO	PREPARACIÓN Y EXPENDIÓ DE COMIDAS RÁPIDAS	I5613
183	LINEY LEANDRA CONTRERAS SANCHEZ	EXPENDIO DE COMIDAS PREPARADAS EN CAFETERÍAS  PREPARACIÓN Y EL EXPENDIO DE ALIMENTOS PARA SU CONSUMO INMEDIATO.	I5613
184	FRESQUERIA Y CAFETERIA PA' SUMERCÉ	EXPENDIO DE COMIDAS PREPARADAS EN CAFETERIA.	I5613
185	HELADERIA Y PIZZERIA ORIANA	COMERCIO AL POR MENOR DE EXPENDIO DE COMIDAS PREPARADAS Y HELADERIA	I5613
186	CAFE - BAR DEJA VU	EXPENDIO DE COMIDAS PREPARADAS EN CAFETERíA	I5613
187	HELADERIA Y CAFETERIA ORIANA	VENTA DE HELADOS JUGOS Y SERVICIO DE CAFETERIA	I5619
188	OASIS KALIMA	VENTA DE REFRESCOS  ENSALADAS DE FRUTAS  JUGOS NATURALES Y HELADOS	I5619
189	ARAQUE CONTRERAS EMILIA PASTORA	OTROS TIPOS DE EXPENDIO DE COMIDAS PREPARADAS N.C.P.  COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON  ALOJAMIENTO EN HOTELES	I5619
190	ESTADERO BUENAVISTA	OTROS TIPOS DE EXPENDIO DE COMIDAS PREPARADAS N.C.P.  COMERCIO AL POR MENOR DE BEBIDAS Y PRODUCTOS DEL TABACO  EN ESTABLECIMIENTOS ESPECIALIZADOS	I5619
191	KART PUBLICIDAD	SERVICIO DE PUBLICIDAD	M7310
192	HELADERIA & FRESQUERIA MI DULCE TENTACION	COMERCIO AL POR MENOR DE HELADOS  JUGOS NATURALES Y REFRESCOS  ELABORACION Y VENTA DE VINOS ARTESANALES	I5619
193	IBAÑEZ PINTO EIBAR	CATERING PARA EVENTOS ARTICULOS E IMPLEMENTOS DE SEGURIDAD.PREPARACION Y VENTA DE ALIMENTOS.ORGANIZACION DE EVENTOS CULTURALES  COMERCIALES Y SOCIALES  SERVICIOS DE LOGISTICA Y GESTION.SUMINISTROS EN GENERAL.	I5621
194	COMERCIALIZADORA UWA	SERVICIO DE ALIMENTOS Y DE COMIDA  SERVICIO DE HOSPEDAJE  TRANSPORTE DE PASAJEROS Y COMERCIO DE ALIMENTOS Y BEBIDAS	I5629
195	CASETA LA CRISTALERA	1. VENTA DE CERVEZA AL CONSUMO 2. VENTA DE VÍVERES	I5630
196	DISCOTEK BAR RESTAURANTE CAÑA BRAVA	EXPENDIÓ DE BEBIDAS AL CONSUMO DENTRO Y FUERA DEL ESTABLECIMIENTO  APUESTAS PARLEY  EXPENDIÓ DE COMIDAS EN CAFETERÍA  CATERING PARA EVENTOS	I5630
197	COMERCIALIZADORA NSF	COMERCIO AL POR MENOR DE BEBIDAS ALCOHÓLICAS  EXPENDIÓ DE COMIDAS PREPARADAS A LA MESA	I5630
198	FUENTE DE SODA EL GAVAN	EXPENDIO DE BEBIDAS ALCOHOLICAS PARA EL CONSUMO DENTRO DEL ESTABLECIMIENTO	I5630
199	BAR LA ESTACION VIEJA	Expendio de bebidas alcoholicas para el consumo dentro del establecimiento	I5630
200	MADEROS RANCH	Actividades relacionadas con expendio de bebidas alcohólicas  azucaradas y naturales   catering y logística de eventos en los que se incluye alimentación  hospedaje y suministro de insumos   así como preparación y suministro de alimentos en actividades de ollas comunitarias   suministro de elementos e insumos de oficina y papelería.	I5630
201	FUENTE DE SODA LA CHURCA	EXPENDIO DE BEBIDAS ALCOHOLICAS PARA EL CONSUMO DENTRO DEL ESTABLECIMIENTO	I5630
202	ASOCIACION COMUNIDAD ORGANIZADA EMISORA COMUNITARIA CUBARA STEREO 99.1 FM	ACTIVIDADES DE PROGRAMACION Y TRANSMISION  GRABACION DE SONIDO Y MUSICA  OTRAS ACTIVIDADES DE SERVICIOS DE INFORMACION	J6010
203	PAPELERIA E INTERNET CHECHONET	COMERCIO DEL PAPELERÍA ARTÍCULOS ESCOLARES Y DE OFICINA  FOTOCOPIADO Y PREPARACIÓN DE DOCUMENTOS SERVICIO DE INTERNET Y VENTA DE RECARGAS.	J6120
204	BANCO AGRARIO DE COLOMBIA - CUBARA	BANCO COMERCIAL.	K6412
205	BANSERVIR	SERVICIO DE PAGOS DE FACTURAS Y TRAMITES	K6619
206	BERNAL VARGAS WILLIAM IGNACIO	ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS TRANSPORTE DE PASAJEROS	L6810
207	VEGA MOGOLLON EDUARDO MANUEL	DISEÑO ARQUITECTÓNICO  COMERCIO DE MAQUINARIA Y EQUIPO AGROPECUARIO  COMERCIO DE ARTÍCULOS DE FERRETERÍA  PINTURAS Y PRODUCTOS DE VIDRIO  COMERCIO DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS  COMERCIO DE UTENSILIOS DOMESTICOS	M7112
208	MORA BUITRAGO XAVIER ALEJANDRO	ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA  COMERCIO DE COMPUTADORES  EQUIPO PERIFERICO Y PROGRAMAS INFORMATICOS  COMERCIO DE MAQUINARIA Y EQUIPOS AGROPECUARIOS  FABRICACION DE MUEBLES	M7112
209	RINCON CARREÑO ANDERSON MANUEL	Comercio al por menor de productos farmacéuticos veterinarios  comercio de insumos agrícolas  actividades de veterinaria	M7500
210	VETERINARIA Y FERRETERIA AGROVIDA	COMERCIO AL POR MENOR DE PRODUCTOS FARMACÉUTICOS  SUPLEMENTOS Y PRODUCTOS NATURALES  COMERCIO DE ELEMENTOS DE PROTECCIÓN PERSONAL Y PRODUCTOS DE DESINFECCIÓN. COMERCIO DE PRODUCTOS FARMACEUTICOS DE USO VETERINARIO  INSUMOS AGRICOLAS  SALES  CONCENTRADOS  ALIMENTOS PARA ANIMALES  PRODUCTOS Y ACCESORIOS PARA MASCOTAS. COMERCIO DE ARTICULOS DE FERRETERIA Y MATERIALES PARA CONSTRUCCION.	M7500
211	AGROVETERINARIA EL ROYOTA	ACTIVIDADES VETERINARIAS  COMERCIO AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES.	M7500
212	PARRADO GUERRERO MIGUEL ANTONIO	1. ALQUILER Y ARRENDAMIENTO DE MAQUINARIA 2. SUMINISTRO DE MATERIALES DE CONSTRUCCIÓN 3. COMERCIO DE ELECTRODOMÉSTICOS 4. SUMINISTRO DE ENSERES Y MULTIMUEBLES	N7730
213	ALVAREZ JHON ORLANDO	ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA TRANSPORTE DE CARGA POR CARRETERA	N7730
214	SOCIEDAD DE INVERSIONES PARA EL DESARROLLO ESTRATEGICO DEL SARARE S.A.S	ACTIVIDADES DE OPERADORES TURISTICOS  COMERCIO A TRAVES DE INTERNET  EXPENDIO DE COMIDAS  CONSERVACION DE OBRAS DE INGENIERIA.	N7912
215	UBACHÀ OPERADOR TURISTICO	ACTIVIDADES DE OPERADORES TURÍSTICOS  ACTIVIDADES DE AGENCIAS DE VIAJES  ORGANIZACIÓN DE CONVENCIONES Y EVENTOS.	N7912
216	ROUTAA' BIRDWATCHING S.A.S	ACTIVIDADES DE OPERADORES TURÍSTICOS  ACTIVIDADES DE AGENCIAS DE VIAJES  ORGANIZACION DE CONVENCIONES Y EVENTOS.	N7912
217	CIUDADELA BIOTURISTICA RITAKUBA SAS	ACTIVIDADES DE OPERADORES TURISTICOS. EXPENDIO DE COMIDAS PREPARADAS. ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO.	N7912
218	KUBA CENTRO DE SOLUCIONES INTEGRALES SAS	Comercio de uso domestico  maquinaria y equipo.	N8230
219	CABALLERO CRISTANCHO CARLOS RAMIRO	PRESTACIÓN DE SERVICIOS COMO GUARDA BOSQUES  CRIA DE EQUINOS  VENTA DE PRODUCTOS MEDICINALES.	N8299
220	AGUABLANCA SERRANO JOSE EVELIO	EXPENDIO DE COMIDAS PREPARADAS	N8299
221	SEPULVEDA RINCON NELLY YOHANA	ACTIVIDADES DE SERVICIO DE APOYO A EMPRESAS  CRIA  Y COMERCIO DE AVES DE CORRAL  COMERCIO DE FRUTAS Y VERDURAS.	N8299
222	FUNDACION ABIRA	SERVICIOS DE SALUD  EDUCATIVOS  CULTURALES Y OTROS SERVICIOS SOCIALES. ACTIVIDADES PROFESIONALES  CIENTIFICAS Y TECNICAS. OTROS TIPOS DE EDUCACIÓN. ACTIVIDADES DE SANEAMIENTO AMBIENTAL Y OTROS SERVICIOS DE GESTION DE DESECHOS.	O8413
223	ESCUELA DE EDUCACION PARA EL DESARROLLO DE COLOMBIA ESEDCO CUBARA	EDUCACIÓN MEDIA TÉCNICA Y DE FORMACIÓN LABORAL. OTROS TIPOS DE EDUCACIÓN Y ACTIVIDADES DE APOYO A LA EDUCACIÓN.	P8523
224	CLÍNICA ODONTOLOGICA VERA SUÁREZ	ACTIVIDADES DE LA PRACTICA ODONTOLOGICA	Q8622
225	CONSULTORIO ODONTOLOGICO JASKALEVA	SERVICIO DE ODONTOLOGIA  VENTA DE MATERIALES PARA LA PRACTICA ODONTOLOGICA	Q8622
226	CONSULTORIO MEDICO BETESDA	OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA ACTIVIDADES DE APOYO DIAGNOSTICO	Q8699
227	FUNDACIÓN CRISTIANA LAZOS DE AMOR CUBARA	SERVICIO DE ALOJAMIENTO	Q8790
228	VICIO GAMER	1. SERVICIO DE PARLEY 2. SERVICIO DE VÍDEO JUEGOS 3. SERVICIO DE INTERNET	R9200
229	APUESTAS JULIO 7	ACTIVIDADES DE JUEGOS PARLEY	R9200
230	JER SA CUBARA	GIROS  PAGOS SERVICIOS Y APUESTAS.	R9200
231	COMITE DE GANADEROS DEL PIEDEMONTE DEL SARARE		S9411
232	FUNDACION MIMAS DEL SARARE		S9499
233	COOPERATIVA AGROPECUARIA INTEGRAL MULTIACTIVA EL  TRIUNFO		S9499
234	ASOCIACION DE FAMILIAS DESPLAZADAS RESIDENTES EN CUBARA EN LIQUIDACION		S9499
235	ASOCIACION CANAL COMUNITARIO CUBARA		S9499
236	ASOCIACION COMUNITARIA SISTEMA DE TELEVISION DE CUBARA		S9499
237	ASOCIACION DE GANADEROS DEL SARARE (ASOGASA).		S9499
238	ASOCIACION ECOTURISTICA RIO ROYOTA		S9499
239	ASOCIACIÓN DROGUERÍA U´WA		S9499
240	ASOCIACION DE USUARIOS AGROPECUARIOS Y DEL DISTRITO DE RIEGO DEL ORIENTE EN MENOR ESCALA DEL MUNICIPIO DE CUBARA		S9499
241	FUNDACION PARA EL DESARROLLO AGROPECUARIO Y CULTURAL EN LA REGIONDEL SARARE		S9499
242	FUNDACION ORUTKUA		S9499
243	ASOCIACION DE APICULTORES CUBARÁ BOYACÁ		S9499
244	ASOCIACION DE MUJERES UNIDAS POR CUBARA BOYACA		S9499
245	ASOCIACION MUSICAL Y CULTURAL CAÑA Y SON		S9499
246	ASOCIACION CAMPESINA Y AMBIENTAL DEL ORIENTE DE BOYACA Y SUR DE NORTE DE SANTANDER	OTRAS ACTIVIDADES DE ASOCIACIONES NCP	S9499
247	FUNDACION AYOWA	OTRAS ACTIVIDADES DE ASOCIACIONES.	S9499
248	ASOCIACION DE ARTESANOS DE CUBARA  BOYACA	OTRAS ACTIVIDADES DE ASOCIACIONES NCP	S9499
249	ASOCIACION DE COMERCIANTES DE CUBARA - BOYACA	OTRAS ACTIVIDADES DE ASOCIACIONES NCP	S9499
250	ASOCIACIÓN DE SOLDADORES DE CUBARA - BOYACA	ACTIVIDADES DE OTRAS ASOCIACIONES NCP	S9499
251	TIJERAS DORADAS SALA DE BELLEZA	Peluquería y otros tratamientos de belleza	S9602
252	SALA DE BELLEZA GELEN	SERVICIO DE PELUQUERÍA Y OTROS TRATAMIENTOS DE BELLEZA	S9602
253	AGUIRRE MONTAÑEZ LUZ CELIA	PELUQUERIA Y TRATAMIENTOS DE BELLEZA	S9602
254	PELUQUERIA & STILOS IRENE	PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA	S9602
255	MUNDO NAILS EXCELENCIA	peinado  tintura  colorante   uñas  manicure  pedicura  pestañas	S9602
256	ASOCIACION DE PRODUCTORES AGROPECUARIOS ASOARAGRO		A0112
257	PEÑA CONTRERAS MERCEDES	CULTIVO DE MAÍZ CON TÉCNICA DE HIDROPONÍA DE FORRAJE PARA ALIMENTACIÓN ANIMAL.	A0119
258	HERNANDEZ GARCIA FAVER ALEXANDER	CULTIVO DE MARACUYÁ  SU PROCESAMIENTO  CONSERVACIÓN Y COMERCIALIZACIÓN.	A0121
259	DESPULPADORA DE FRUTAS JP	VENTA DE PULPAS	A0121
260	MARACUYA J&A.S.A.S	ACTIVIDADES AGRÍCOLAS Y PECUARIAS Y OTRAS ACTIVIDADES DE ASOCIACIONES	A0121
261	FILIMARPAZ UEAI S.A.S ZOMAC		A0121
262	HERRERA ROMERO CARLOS ANDRES	cultivo y comercio de plÁtano	A0122
263	ASOCIACION MULTIACTIVA DE CAÑICULTORES DE ARAUQUITA ASECAÑA		A0124
264	VIVERO GUACHAPELE	ACTIVIDADES DE LOS VIVEROS  EXPLOTACION AGRICOLA Y PECUARIA  PROCESAMIENTO Y CONSERVACION DE FRUTAS  LEGUMBRES  HORTALIZAS Y TUBERCULOS  COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS  ANIMALES VIVOS.	A0130
265	GANALACT LONDOÑO S.A.S		A0141
266	LECHERIA LA PARDA S.A.S		A0141
267	SANCHEZ LIBARDO	CRIA DE GANADO BOVINO Y BUFALINO. COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS  ANIMALES VIVOS	A0141
268	GENETICA DEL LLANO S.A.S EN LIQUIDACION		A0141
269	RODRIGUEZ BEDOYA JOSE RIGOBERTO	COMPRA Y VENTA DE GANADO COMPRA Y VENTA DE CACAO SECO Y EN BABA Y SERVICIO A DOMICILIO	A0141
270	ZULUAGA ZULUAGA JOSE BELISARIO	CRIA DE GANADO BOVINO Y BUFALINO	A0141
271	ASOCIACION AGROPECUARIA CIRCULO DE EXCELENCIA PANAMA - 1		A0141
272	GANADERIA H&M S.A.S	CRIA DE GANADO BOVINO Y BUFALINO ACTIVIDADES DE APOYO A LA AGRICULTURA  CULTIVO DE ARROZ	A0141
273	ASOCIACION AGROPECUARIA LA NUEVA ESPERANZA		A0145
274	GRANJA AVICOLA DAYU	CRÍA DE AVES DE CORRAL  VENTA DE HUEVOS Y PESCADO	A0145
275	J&M AVICOLA RODRIGUEZ S.A.S ZOMAC	VENTA Y COMERCIALIZACION DE HUEVOS	A0145
276	QUINCHIA GIRALDO EMILSE	CRÍA DE AVES DE CORRAL	A0145
277	DIAZ ROJAS ALEXIS SNEIDER	CRIA DE AVES DE CORRAL                                       EXPLOTACION MIXTA (AGRICOLA Y PECUARIA)                      "COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS  ANI PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS	A0145
278	GRANJA COSTA RICA	1. CRIA DE AVES DE CORRAL 2. ELABORACION DE PRODUCTOS LACTEOS 3.CRIA DE GANADO BOVINO Y BUFALINO 4. ALQUILER Y ARRENDAMIENTO DE VEHICULOS AUTOMOTORES	A0145
279	GRANJA AVICOLA LUISA	CRÍA Y VENTA DE AVE DE CORRAL	A0145
280	HUEVOS HERCULES	CRIA DE AVES DE CORRAL Y VENTA DE HUEVOS.	A0145
281	AVICOLA PACOMER	1. CRIA DE AVES DE CORRAL 2. COMERCIO DE POLLO	A0145
282	BEETA	ACTIVIDAD COMERCIAL LA  APICULTURA Y PRODUCCION DE MIEL Y CERA DE ABEJA.	A0149
283	ASOCIACION DE PRODUCTORES AGROPECUARIOS DE LA VEREDA EL PARAISO        ASAGROP		A0150
284	ARAQUE ORTIZ MARIA SMITH	VENTA DE CARNES POLLO Y PESCADO	A0150
285	ASOCIACION AGROPECUARIA PANAMA DE ARAUCA		A0150
286	ASOCIACION DE PRODUCTORES AGRICOLAS LOS PETOS DE ARAUQUITA	EXPLOTACION MIXTA (AGRICOLA Y PECUARIA)  CRIA DE AVES DE CORRAL	A0150
287	FINCA VILLA GABY S.A.S ZOMAC		A0150
288	NOVOA BOHORQUEZ ELIECER	1. EXPLOTACION MIXTA (AGRICOLA Y PECUARIA)	A0150
289	MORENO SOLANO ALEXANDER	VENTA DE PESCADO  GANADO Y PRODUCTOS AGRÍCOLAS.	A0150
290	FERRER PABON JENNYFER	EXPLOTACIÓN MIXTA (AGRÍCOLA Y PECUARIA)  CRÍA DE GANADO BOVINO Y BUFALINO  EDUCACIÓN BÁSICA PRIMARIA  SERVICIO DE MANTENIMIENTO Y REPARACIÓN DE COMPUTADORES Y DE EQUIPO PERIFÉRICO	A0150
291	ASOCIACION DE PRODUCTORES AGROPECUARIOS Y AGROINDUSTRIALES DE LA VEREDA LA ESPERANZA JAVILLAL		A0150
292	ASOCIACION DE PRODUCTORES VICTIMAS DE DESPLAZAMIENTO FORZADO DEL MUNICIPIO DE ARAUQUITA		A0150
293	ORGANIZACIÓN REGIONAL GESTORA	ACTIVIDADES DE ASOCIACIONES.	A0150
294	ASOCIACION PARA LA CRIA DE ESPECIES MENORES Y PRODUCTOS AGRICOLAS Y ABEJAS APIS Y MELIPONAS	ACTIVIDADES AGRICOLAS Y PECUARIOS  CRIA DE AVES DE CORRAL  CRIA DE ABEJAS.	A0150
295	SUBASTAGRO COLOMBIA S.A.S ZOMAC	EXPLOTACIÓN MIXTA AGRÍCOLA Y PECUARIA  COMERCIO DE PRODUCTOS AGRÍCOLAS	A0150
