lottery_name;winning_number;digits_4;digits_3;2_digit;draw_date
Chontico dia;8016 La 5ta: 0;8016;016;80;2026-01-27
Chontico noche;5064 La 5ta: 8;5064;064;50;2026-01-27
Cafeterito tarde;3865 La 5ta: 2;3865;865;38;2026-01-27
Cafeterito noche;0892 La 5ta: 8;0892;892;08;2026-01-27
Sinuano dia;2035 La 5ta: 5;2035;035;20;2026-01-27
Sinuano noche;2443 La 5ta: 0;2443;443;24;2026-01-27
Cash three dia;0105;0105;105;01;2026-01-27
Play four dia;4631;4631;631;46;2026-01-27
Saman dia;6571;6571;571;65;2026-01-27
Caribeña dia;2621 La 5ta: 2;2621;621;26;2026-01-27
Caribeña noche;5835 La 5ta: 0;5835;835;58;2026-01-27
Motilon Tarde;3126;3126;126;31;2026-01-27
Motilon Noche;8461 La 5ta: 6;8461;461;84;2026-01-27
Fantastica dia;1225 La 5ta: 7;1225;225;12;2026-01-27
Fantastica Noche;8561 La 5ta: 6;8561;561;85;2026-01-27
Antioqueñita Dia;1704 La 5ta: 0;1704;704;17;2026-01-27
Antioqueñita Tarde;1713 La 5ta: 9;1713;713;17;2026-01-27
Culona noche;0926;0926;926;09;2026-01-27
TriplexOnce1;0898;0898;898;08;2026-01-28
TriplexOnce2;0596;0596;596;05;2026-01-28
TriplexOnce3;0752;0752;752;07;2026-01-28
TriplexOnce4;0554;0554;554;05;2026-01-28
TriplexOnce5;0594;0594;594;05;2026-01-28
Dorado mañana;1105 La 5ta: 0;1105;105;11;2026-01-28
Dorado Tarde;9072 La 5ta: 1;9072;072;90;2026-01-28
Culona;5415;5415;415;54;2026-01-28
Astro sol;7831 Leo;7831;831;78;2026-01-28
Astro Luna;4797 Piscis;4797;797;47;2026-01-28
Pijao de oro;1196 La 5ta: 2;1196;196;11;2026-01-28
Paisita dia;6048 La 5ta: 3;6048;048;60;2026-01-28
Paisita noche;0742;0742;742;07;2026-01-28
Chontico dia;2745 La 5ta: 6;2745;745;27;2026-01-28
Chontico noche;2724 La 5ta: 5;2724;724;27;2026-01-28
Cafeterito tarde;0709 La 5ta: 7;0709;709;07;2026-01-28
Cafeterito noche;8233 La 5ta: 3;8233;233;82;2026-01-28
Sinuano dia;9195 La 5ta: 0;9195;195;91;2026-01-28
Sinuano noche;7089 La 5ta: 0;7089;089;70;2026-01-28
Cash three dia;0787;0787;787;07;2026-01-28
Play four dia;0951;0951;951;09;2026-01-28
Saman dia;7638;7638;638;76;2026-01-28
Caribeña dia;7391 La 5ta: 0;7391;391;73;2026-01-28
Caribeña noche;3103 La 5ta: 3;3103;103;31;2026-01-28
Motilon Tarde;5511 La 5ta: 5;5511;511;55;2026-01-28
Motilon Noche;9160 La 5ta: 7;9160;160;91;2026-01-28
Fantastica dia;2515 La 5ta: 6;2515;515;25;2026-01-28
Fantastica Noche;3893 La 5ta: 9;3893;893;38;2026-01-28
Antioqueñita Dia;3799 La 5ta: 2;3799;799;37;2026-01-28
Antioqueñita Tarde;3147 La 5ta: 1;3147;147;31;2026-01-28
Culona noche;3550;3550;550;35;2026-01-28
TriplexOnce1;0677;0677;677;06;2026-01-29
TriplexOnce2;0165;0165;165;01;2026-01-29
TriplexOnce3;0747;0747;747;07;2026-01-29
TriplexOnce4;0228;0228;228;02;2026-01-29
TriplexOnce5;0413;0413;413;04;2026-01-29
Quindio;0923 88;0923;923;09;2026-01-29
Dorado mañana;6425 La 5ta: 9;6425;425;64;2026-01-29
Dorado Tarde;6338 La 5ta: 6;6338;338;63;2026-01-29
Culona;7139;7139;139;71;2026-01-29
Astro sol;0300 Virgo;0300;300;03;2026-01-29
Astro Luna;7270 Virgo;7270;270;72;2026-01-29
Pijao de oro;8683 La 5ta: 8;8683;683;86;2026-01-29
Paisita dia;8828 La 5ta: 8;8828;828;88;2026-01-29
Paisita noche;7945;7945;945;79;2026-01-29
Chontico dia;8861 La 5ta: 7;8861;861;88;2026-01-29
Chontico noche;8216 La 5ta: 6;8216;216;82;2026-01-29
Cafeterito tarde;7298 La 5ta: 3;7298;298;72;2026-01-29
Cafeterito noche;4686 La 5ta: 0;4686;686;46;2026-01-29
Sinuano dia;8047 La 5ta: 6;8047;047;80;2026-01-29
Sinuano noche;0660 La 5ta: 9;0660;660;06;2026-01-29
Cash three dia;0435;0435;435;04;2026-01-29
Play four dia;4663;4663;663;46;2026-01-29
Saman dia;2351;2351;351;23;2026-01-29
Caribeña dia;1256 La 5ta: 2;1256;256;12;2026-01-29
Caribeña noche;2234 La 5ta: 0;2234;234;22;2026-01-29
Motilon Tarde;6131 La 5ta: 3;6131;131;61;2026-01-29
Motilon Noche;2090 La 5ta: 9;2090;090;20;2026-01-29
Fantastica dia;3368 La 5ta: 0;3368;368;33;2026-01-29
Fantastica Noche;0936 La 5ta: 0;0936;936;09;2026-01-29
Antioqueñita Dia;7410 La 5ta: 1;7410;410;74;2026-01-29
Antioqueñita Tarde;9444 La 5ta: 4;9444;444;94;2026-01-29
Culona noche;5753;5753;753;57;2026-01-29
